Title,Plot,Released,Genre,Main_Genre,IMDb_Rating,Year,Director,Actors,IMDb_ID
To Father with Love,An intelligent son of a former entrepreneur takes revenge on a powerful and rich businessman who is as smart as he is.,12 Jan 2016,"Action, Drama, Thriller",Action,7.5,2016,Sukumar,"N.T. Rama Rao Jr., Rakul Preet Singh, Jagapathi Babu",tt5098128
Vengeance: A Love Story,One vigilante policeman comes to the aid of a single mother seeking to bring her rapists to justice.,15 Sep 2017,"Action, Adventure, Crime",Action,5.2,2017,Johnny Martin,"Nicolas Cage, Anna Hutchison, Talitha Eliana Bateman",tt5460530
Nisshartho Bhalobasha: What is Love!,Nishwartha Bhalobasa (English: Selfless Love) is Bangladeshi romantic-action-comedy film directed by Ananta Jalil. starring Ananta and Barsha in the lead roles. The film is produced by Ananta Jalil under the banner of Monsoon Film...,08 Aug 2013,"Action, Comedy, Drama",Action,7.0,2013,Ananta Jalil,"Ananta Jalil, Afiea Nusrat Barsha, Misha Sawdagor",tt3073256
First Love,A young boxer and a call girl get caught up in a drug-smuggling scheme over the course of one night in Tokyo.,14 Feb 2020,"Action, Comedy, Crime",Action,6.7,2019,Takashi Miike,"Becky, Bengal, Masayuki Deai",tt10228168
From Beijing with Love,A Chinese spy who's been out of service for ten years whilst making a living as a butcher is sent to Hong Kong to locate a stolen Tyrannosaurus rex skull.,14 Sep 1994,"Action, Comedy, Thriller",Action,7.1,1994,"Stephen Chow, Lik-Chi Lee","Stephen Chow, Anita Yuen, Kar-Ying Law",tt0109962
OSS 117: From Africa with Love,The third entry in secret agent OSS 117's parodic spy adventures.,04 Aug 2021,"Action, Comedy",Action,5.8,2021,Nicolas Bedos,"Jean Dujardin, Pierre Niney, Fatou N'Diaye",tt7972012
Azumi 2: Death or Love,"Young assassins Azumi and Nagara continue their mission to prevent a civil war. In their hunt for Masayuki Sanada, who is protected by both an army and a dangerous clan, they meet Ginkaku, a person who shows a remarking resemblanc...",12 Mar 2005,"Action, Adventure, Drama",Action,6.2,2005,Shûsuke Kaneko,"Aya Ueto, Yûma Ishigaki, Chiaki Kuriyama",tt0431641
Valerian and the City of a Thousand Planets,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the ...",21 Jul 2017,"Action, Adventure, Fantasy",Action,6.4,2017,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen",tt2239822
Sin City: A Dame to Kill For,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,22 Aug 2014,"Action, Crime, Thriller",Action,6.5,2014,"Frank Miller, Robert Rodriguez","Mickey Rourke, Jessica Alba, Josh Brolin",tt0458481
The Lost City,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,25 Mar 2022,"Action, Adventure, Comedy",Action,6.1,2022,"Aaron Nee, Adam Nee","Sandra Bullock, Channing Tatum, Daniel Radcliffe",tt13320622
The Mortal Instruments: City of Bones,"When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.",21 Aug 2013,"Action, Adventure, Fantasy",Action,5.8,2013,Harald Zwart,"Lily Collins, Jamie Campbell Bower, Robert Sheehan",tt1538403
Broken City,"In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed by its most powerful figure: Mayor Nicholas Hostetler.",18 Jan 2013,"Action, Crime, Drama",Action,6.1,2013,Allen Hughes,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones",tt1235522
Resident Evil: Welcome to Raccoon City,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.",24 Nov 2021,"Action, Horror, Sci-Fi",Action,5.2,2021,Johannes Roberts,"Kaya Scodelario, Robbie Amell, Hannah John-Kamen",tt6920084
New Jack City,A crime lord ascends to power and becomes megalomaniacal while a maverick police detective vows to stop him.,08 Mar 1991,"Action, Crime, Drama",Action,6.6,1991,Mario Van Peebles,"Wesley Snipes, Ice-T, Allen Payne",tt0102526
Dora and the Lost City of Gold,Teenage explorer Dora leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.,09 Aug 2019,"Action, Adventure, Comedy",Action,6.1,2019,James Bobin,"Isabela Merced, Eugenio Derbez, Michael Peña",tt7547410
The Crow: City of Angels,The spirit of the Crow resurrects a car mechanic seeking revenge for the murder of his son.,30 Aug 1996,"Action, Crime, Fantasy",Action,4.6,1996,Tim Pope,"Vincent Perez, Mia Kirshner, Richard Brooks",tt0115986
City Hunter,"A self-indulgent private investigator winds up on a cruise ship full of rich patrons, gorgeous women, murderous terrorists, and scarce food.",14 Jan 1993,"Action, Comedy, Crime",Action,6.3,1993,Jing Wong,"Jackie Chan, Richard Norton, Joey Wang",tt0103950
City Heat,"Slick Private Investigator Mike Murphy (Burt Reynolds) and tough Police Lieutenant Speer (Clint Eastwood), once partners, now bitter enemies, reluctantly team up to investigate a murder.",07 Dec 1984,"Action, Comedy, Crime",Action,5.5,1984,Richard Benjamin,"Clint Eastwood, Burt Reynolds, Jane Alexander",tt0087062
Allan Quatermain and the Lost City of Gold,"Allan Quatermain once again teams up with Jesse Huston where the discovery of a mysterious old gold piece sends Quatermain looking for his long-lost brother, missing in the wilds of Africa after seeking a lost white race.",30 Jan 1987,"Action, Adventure, Comedy",Action,4.6,1986,Gary Nelson,"Richard Chamberlain, Sharon Stone, James Earl Jones",tt0092534
My Spy: The Eternal City,"JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear scheme threatening Vatican City, which disrupts a high school choir trip to Italy.",18 Jul 2024,"Action, Comedy",Action,5.7,2024,Peter Segal,"Dave Bautista, Chloe Coleman, Kristen Schaal",tt12930350
Wicked City,"While protecting a signatory to a peace treaty between their peoples, a male human and a female demon discover that their mutual attraction may be the key to unifying their worlds.",20 Aug 1993,"Animation, Action, Fantasy",Action,6.7,1987,Yoshiaki Kawajiri,"Yûsaku Yara, Toshiko Fujita, Ichirô Nagai",tt0098692
Rogue City,"Caught in the cross hairs of police corruption and Marseille's warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",30 Oct 2020,"Action, Crime, Drama",Action,6.1,2020,Olivier Marchal,"Lannick Gautry, Stanislas Merhar, Kaaris",tt10127684
Constantine: City of Demons - The Movie,"A decade after a tragic mistake, Chas Chandler and occult investigator John Constantine set out to cure Chas's daughter, Trish, from a demonically induced coma.",04 Oct 2018,"Animation, Action, Fantasy",Action,7.3,2018,Doug Murphy,"Matt Ryan, Laura Bailey, Robin Atkin Downes",tt9177882
City on Fire,An undercover cop infiltrates a gang of thieves who plan to rob a jewelry store.,24 Jun 2025,"Action, Crime, Drama",Action,7.0,1987,Ringo Lam,"Chow Yun-Fat, Yueh Sun, Danny Lee",tt0093435
Fabricated City,"After Kwon, an exceptional gamer, is wrongly framed for murder, he along with his allies decides to find the real culprit and prove his innocence.",24 Feb 2017,"Action, Crime, Thriller",Action,6.8,2017,Kwang-Hyun Park,"Ji Chang-wook, Shim Eun-kyung, Ahn Jae-hong",tt6399158
City Hunter,"Nicky Larson, the best private investigator in the business, is called for a high-risk mission: to recover the perfume of Cupid, a perfume that would make irresistible the one who uses it.",06 Feb 2019,"Action, Comedy, Crime",Action,6.5,2018,Philippe Lacheau,"Philippe Lacheau, Élodie Fontan, Tarek Boudali",tt8523334
Godzilla: City on the Edge of Battle,"Humanity's desperate battle to reclaim the Earth from Godzilla continues. The key to defeating the King of the Monsters may be Mechagodzilla, a robotic weapon thought to have been lost nearly 20,000 years ago.",18 Jul 2018,"Animation, Action, Sci-Fi",Action,5.8,2018,"Hiroyuki Seshita, Kôbun Shizuno","Mamoru Miyano, Takahiro Sakurai, Kana Hanazawa",tt8015080
City Hunter,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death.",25 Apr 2024,"Action, Comedy, Crime",Action,6.3,2024,Yûichi Satô,"Ryohei Suzuki, Misato Morita, Masanobu Andô",tt24478470
Demon City,"Framed for his family's murder and left for dead, an ex-hitman will stop at nothing to exact revenge on the masked ""demons"" who have taken over his city.",27 Feb 2025,"Action, Adventure, Crime",Action,5.4,2025,Seiji Tanaka,"Tôma Ikuta, Masahiro Higashide, Miou Tanaka",tt35111035
Forbidden City Cop,"An imperial agent gets ridiculed for his various inventions, until his supportive wife encourages him to attend a conference, which's actually a trap to kill all the doctors serving the emperor, where his crazy inventions come in ...",16 Feb 1996,"Action, Comedy, Fantasy",Action,6.9,1996,"Stephen Chow, Vincent Kok","Stephen Chow, Carina Lau, Carman Lee",tt0116014
The City of Violence,"After their childhood friend is murdered, a two-man martial arts army beats a path to the perp.",25 May 2006,"Action, Crime, Thriller",Action,6.6,2006,Ryoo Seung-wan,"Ryoo Seung-wan, Lee Beom-su, Kim Byeong-Ok",tt0821470
Paradise City,Ryan Swan must carve his way through the Hawaiian crime world to wreak vengeance on the kingpin who murdered his father.,11 Nov 2022,"Action, Thriller",Action,3.7,2022,Chuck Russell,"Bruce Willis, Blake Jenner, Praya Lundberg",tt14656632
Natural City,"In the near future, humans rely heavily on androids to maintain society, but some of the machines revolt. A military officer in charge of doing away with the unruly cyborgs also loves the gynoid that looks over him.",05 Sep 2003,"Action, Drama, Sci-Fi",Action,5.7,2003,Byung-chun Min,"Yoo Ji-tae, Lee Jae-un, Rin Seo",tt0378428
Inner City Rats,"Black market gun deals, petty scams, convenience store stick-ups, and drug-fueled parties reveal glimpses into the lives of young misfits and low level criminals across New York City.",05 Apr 2019,"Action, Comedy, Crime",Action,5.5,2019,Sam Garcia Southern,"Madwiz, Radamiz Rodriguez, Skyler Gallun",tt9000466
Gun City,In 1921 a tough cop is sent from Madrid to Barcelona to locate stolen military weaponry.,11 Oct 2018,"Action, Adventure, Crime",Action,6.3,2018,Dani de la Torre,"Luis Tosar, Michelle Jenner, Vicente Romero",tt7104984
Violent City,"After being double-crossed by his mistress and barely escaping a murder attempt, a hit-man sets out to take his revenge on the woman and the mob boss who put her up to it.",01 Feb 1973,"Action, Crime, Thriller",Action,6.2,1970,Sergio Sollima,"Charles Bronson, Telly Savalas, Jill Ireland",tt0065555
Cut Throat City,"Set after Hurricane Katrina, four boyhood friends out of options reluctantly accept an offer to pull off a dangerous heist in the heart of New Orleans.",21 Aug 2020,"Action, Crime, Drama",Action,4.9,2020,RZA,"Shameik Moore, Demetrius Shipp Jr., Denzel Whitaker",tt3547306
Street Kings 2: Motor City,Motor City moves the action to Michigan and explores the world of dirty cops on the violent streets of Detroit.,19 Apr 2011,"Action, Crime, Thriller",Action,4.8,2011,Chris Fisher,"Ray Liotta, Shawn Hatosy, Scott Norman, Clifton Powell",tt1707687
Lost City Raiders,"The year is 2048, and global warming has flooded much of Earth's land areas. A father and his two sons try to salvage treasures from sunken buildings when they are given an important assignment by the New Vatican.",31 Oct 2008,"Action, Adventure, Sci-Fi",Action,4.0,2008,Jean de Segonzac,"James Brolin, Ian Somerhalder, Bettina Zimmermann",tt1198403
Demon City Shinjuku,"A young swordsman ventures into a disaster stricken Shinjuku, Tokyo, to try and stop a powerful man, who has made a deal with the demon realm, from opening a portal that will allow demons to cross over to the human world.",25 Oct 1988,"Animation, Action, Fantasy, Horror",Action,6.4,1988,Yoshiaki Kawajiri,"Hideyuki Hori, Hiromi Tsuru, Kiyoshi Kobayashi, Kyôko Tongû",tt0094995
Qayamat: City Under Threat,"CBI officer Akram seeks to nab three terrorists, Ali, Abbas and Laila, who have held 213 tourists as hostage in Elphinstone Jail. For this, he seeks help from Rachit, a former associate of the trio.",11 Jul 2003,"Action, Adventure, Thriller",Action,4.8,2003,Harry Baweja,"Ajay Devgn, Suniel Shetty, Sanjay Kapoor",tt0364621
Jurassic City,Prehistoric animals emerge from a science lab and tear up most of Los Angeles.,01 Jan 2015,"Action, Adventure, Comedy",Action,3.1,2015,Sean Cain,"Ray Wise, Kevin Gage, Vernon Wells",tt2905674
Tarzan and the Lost City,Tarzan returns to his homeland of Africa to save his home from destruction.,24 Apr 1998,"Action, Adventure, Family",Action,4.0,1998,Carl Schenkel,"Casper Van Dien, Jane March, Steven Waddington",tt0120856
Black Mask 2: City of Masks,The Black Mask must stop a group intent on setting off a DNA bomb that could cause mutations to the human race.,09 Jan 2003,"Action, Drama, Sci-Fi",Action,3.7,2002,Hark Tsui,"Andy On, Tobin Bell, Jon Polito",tt0264429
City on Fire,"A pyromaniac, ex-employee of a city oil refinery creates an explosion at the facility which starts a chain-reaction of fires that engulf the entire city.",31 Aug 1979,"Action, Drama",Action,4.4,1979,Alvin Rakoff,"Barry Newman, Susan Clark, Shelley Winters",tt0078976
City Limits,"A pair of teenage motorcycle gangs maintain an uneasy truce between each other in the not-too-distant future. When an evil corporation tries to take over their ruined city, the gangs must decide whether to fight their common enemy.",01 Sep 1985,"Action, Adventure, Sci-Fi",Action,2.5,1984,Aaron Lipstadt,"John Stockwell, Darrell Larson, Rae Dawn Chong",tt0088925
Blue City,"A drifter returns to his Florida hometown only to discover that his father, the local mayor, was mysteriously murdered during his absence. Vowing to find the killer and avenge his father's death, he starts his own investigation.",02 May 1986,"Action, Crime, Drama",Action,4.4,1986,Michelle Manning,"Judd Nelson, Ally Sheedy, David Caruso",tt0090753
Lego DC Comics Superheroes: Justice League - Gotham City Breakout,Batman goes on vacation and chaos erupts in Gotham.,13 Jul 2016,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",Action,6.1,2016,"Matt Peters, Melchior Zwyer","Troy Baker, Eric Bauza, Greg Cipes, John DiMaggio",tt5612702
City Rats,"Eight lost souls search for solutions to problems ranging from finding a better suicide method, to defeating creative block, to losing their virginity.",24 Apr 2009,"Action, Comedy, Drama",Action,5.0,2009,Steve M Kelly,"Tamer Hassan, Ray Panthaki, Susan Lynch",tt1090646
Neon City,"""Mad Max"" clone set in the not-too-distant future about a group of people trying to escape to a safe haven called Neon City after a solar disaster that has decimated the Earth.",01 Feb 1992,"Action, Adventure, Sci-Fi",Action,5.3,1991,Monte Markham,"Michael Ironside, Vanity, Lyle Alzado",tt0104981
Taeter City,"A cannibal dictator brings Taeter City's crime rates next to zero by using a mass-control radio-wave emission. But as he recycles the criminals' bodies as food, the ultimate mutation emerges. Can his elite police squad clean up th...",25 Aug 2018,"Action, Horror, Sci-Fi",Action,4.8,2012,Giulio De Santi,"Monica Muñoz, Santiago Ortaez, Wilmar Zimosa",tt2306836
The Wicked City,"Lung and his partner Ling is assigned to go after Daishu for selling a drug from the Rapters's world called 'Happiness' which causes people to evaporate, Lung, Ling and Wan-Gei join forces to fight the Rapters.",20 Nov 1992,"Action, Drama, Fantasy",Action,5.7,1992,Tai-Kit Mak,"Leon Lai, Jacky Cheung, Michelle Reis",tt0105869
City Under Siege,"When circus clown Sunny gets transformed into a super-powered mutant, he finds himself pitted against his fellow performers, who were altered in the same accident, and are now using their powers to wreak havoc around the city.",12 Aug 2010,"Action, Sci-Fi, Thriller",Action,4.6,2010,Benny Chan,"Aaron Kwok, Shu Qi, Jing Wu",tt1691832
Burst City,Punk rock gangs and music groups clash with one another and the brutal police force in a futuristic Tokyo setting.,13 Mar 1982,"Action, Drama, Music",Action,6.0,1982,Gakuryû Ishii,"Takanori Jinnai, Shinya Ohe, Yuto Iseta",tt0083609
Scar City,A young cop gets thrown in with a special police squad who are acting as assassins against hoods and who don't care who gets in the way.,23 Jul 1999,"Action, Thriller",Action,5.1,1998,Ken Sanzel,"Stephen Baldwin, Tia Carrere, Renée Estevez",tt0126016
Wild City,A cop-turned-bar owner befriends a drunken woman and finds himself pursued by her former lover and the thugs he employs. The chase turns deadly when the bar owner's deadbeat brother and a suitcase full of cash enter the picture.,31 Jul 2015,"Action, Crime, Thriller",Action,5.7,2015,Ringo Lam,"Louis Koo, Shawn Yue, Liya Tong",tt3801934
Open City,"Baek Jang-Mi is the female leader of an international pickpocket gang. Her target is to broaden her territory to outside Seoul. She disguises as a tattooist as a cover. After a number of people have been pick pocketed in Osaka, bo...",10 Jan 2008,"Action, Crime",Action,6.2,2008,Sang-gi Lee,"Son Ye-jin, Kim Myung-min, Kim Byeong-Ok",tt1232106
